Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Ohis Felix Uduokhai,de GER,DF,25.0,33,2921.0,89.0,95.5,32.5,33,89.0,31,0,0.0,0,1.15,49.0,59.0,-10.0,-0.31,-0.31,42.2,54.9,-12.7,-0.39,-1.29,Matches
Ermedin Demirović,ba BIH,"FW,MF",25.0,33,2873.0,87.0,93.9,31.9,33,87.0,23,0,0.0,0,1.15,47.0,56.0,-9.0,-0.28,0.2,42.9,52.3,-9.4,-0.29,0.63,Matches
Finn Dahmen,de GER,GK,25.0,31,2790.0,90.0,91.2,31.0,31,90.0,31,0,0.0,0,1.26,48.0,52.0,-4.0,-0.13,1.87,41.8,49.1,-7.3,-0.24,1.09,Matches
Phillip Tietz,de GER,FW,26.0,34,2382.0,70.0,77.8,26.5,31,74.0,4,3,30.0,0,1.15,41.0,45.0,-4.0,-0.15,0.65,33.9,42.5,-8.6,-0.33,0.03,Matches
Jeffrey Gouweleeuw,nl NED,DF,32.0,30,2593.0,86.0,84.7,28.8,29,88.0,27,1,45.0,0,1.13,40.0,46.0,-6.0,-0.21,0.56,39.1,47.1,-8.1,-0.28,0.35,Matches
Ruben Vargas,ch SUI,"MF,FW",24.0,31,1962.0,63.0,64.1,21.8,25,72.0,3,6,26.0,0,1.16,32.0,41.0,-9.0,-0.41,-0.33,27.0,35.6,-8.6,-0.4,-0.18,Matches
Elvis Rexhbeçaj,de GER,MF,25.0,25,1985.0,79.0,64.9,22.1,24,81.0,14,1,31.0,1,1.2,29.0,40.0,-11.0,-0.5,-0.58,27.1,35.1,-8.0,-0.36,-0.09,Matches
Kevin Mbabu,ch SUI,DF,28.0,25,2047.0,82.0,66.9,22.7,22,88.0,18,3,41.0,1,1.12,28.0,37.0,-9.0,-0.4,-0.31,29.4,36.9,-7.5,-0.33,0.01,Matches
Mads Pedersen,dk DEN,DF,26.0,27,1786.0,66.0,58.4,19.8,19,83.0,14,8,25.0,3,0.96,29.0,43.0,-14.0,-0.71,-0.99,30.7,37.3,-6.6,-0.33,0.0,Matches
Iago,br BRA,DF,26.0,23,1622.0,71.0,53.0,18.0,18,82.0,12,5,29.0,0,1.43,29.0,20.0,9.0,0.5,1.69,22.9,25.6,-2.7,-0.15,0.39,Matches
Fredrik Jensen,fi FIN,"MF,FW",25.0,22,1338.0,61.0,43.7,14.9,18,70.0,0,4,19.0,2,1.45,26.0,22.0,4.0,0.27,1.0,19.0,20.8,-1.8,-0.12,0.38,Matches
Niklas Dorsch,de GER,MF,25.0,21,1386.0,66.0,45.3,15.4,16,81.0,9,5,17.0,5,1.14,20.0,30.0,-10.0,-0.65,-0.65,19.3,27.5,-8.2,-0.53,-0.37,Matches
Arne Engels,be BEL,"MF,DF",19.0,32,1405.0,44.0,45.9,15.6,13,74.0,2,19,23.0,0,1.22,25.0,21.0,4.0,0.26,1.02,23.0,25.9,-2.9,-0.19,0.27,Matches
Kristijan Jakić,hr CRO,MF,26.0,14,1051.0,75.0,34.3,11.7,13,78.0,8,1,31.0,0,1.29,17.0,15.0,2.0,0.17,0.71,14.2,16.7,-2.5,-0.21,0.19,Matches
Arne Maier,de GER,MF,24.0,22,1003.0,46.0,32.8,11.1,10,77.0,3,12,19.0,5,1.0,20.0,19.0,1.0,0.09,0.57,17.6,21.1,-3.5,-0.31,0.03,Matches
Maximilian Bauer,de GER,DF,23.0,14,810.0,58.0,26.5,9.0,9,83.0,6,5,12.0,15,1.57,15.0,22.0,-7.0,-0.78,-0.66,15.6,17.8,-2.2,-0.24,0.12,Matches
Tim Breithaupt,de GER,MF,21.0,16,629.0,39.0,20.6,7.0,6,70.0,1,10,21.0,13,0.88,6.0,19.0,-13.0,-1.86,-1.97,9.7,16.9,-7.1,-1.02,-0.87,Matches
Robert Gumny,pl POL,DF,25.0,13,481.0,37.0,15.7,5.3,6,64.0,2,7,14.0,10,0.85,9.0,9.0,0.0,0.0,0.35,8.2,10.0,-1.8,-0.34,-0.01,Matches
Sven Michel,de GER,"FW,MF",33.0,22,583.0,27.0,19.1,6.5,5,64.0,0,17,15.0,8,1.09,12.0,15.0,-3.0,-0.46,-0.21,12.7,12.8,-0.1,-0.02,0.39,Matches
Patric Pfeiffer,de GER,DF,23.0,11,511.0,46.0,16.7,5.7,4,81.0,2,7,27.0,11,0.64,3.0,14.0,-11.0,-1.94,-1.97,6.1,9.8,-3.7,-0.66,-0.39,Matches
Dion Drena Beljo,hr CRO,"FW,MF",21.0,26,581.0,22.0,19.0,6.5,3,74.0,1,23,16.0,5,1.12,10.0,14.0,-4.0,-0.62,-0.4,9.7,13.5,-3.8,-0.58,-0.31,Matches
Tomáš Koubek,cz CZE,GK,30.0,3,270.0,90.0,8.8,3.0,3,90.0,3,0,0.0,31,0.0,2.0,8.0,-6.0,-2.0,-1.87,4.3,8.3,-4.0,-1.32,-1.09,Matches
Mergim Berisha,de GER,FW,25.0,2,122.0,61.0,4.0,1.4,2,61.0,0,0,0.0,0,0.5,3.0,5.0,-2.0,-1.48,-1.23,2.4,2.4,0.0,-0.03,0.31,Matches
Mert Kömür,de GER,"MF,DF",18.0,4,118.0,30.0,3.9,1.3,1,73.0,0,3,15.0,8,0.75,2.0,3.0,-1.0,-0.76,-0.49,1.6,3.4,-1.7,-1.33,-1.04,Matches
Pep Biel,es ESP,"MF,FW",26.0,11,285.0,26.0,9.3,3.2,0,0.0,0,11,26.0,3,1.09,4.0,4.0,0.0,0.0,0.32,5.1,5.4,-0.3,-0.1,0.26,Matches
Irvin Cardona,fr FRA,"MF,DF",25.0,3,54.0,18.0,1.8,0.6,0,0.0,0,3,18.0,1,0.33,2.0,1.0,1.0,1.67,2.0,1.1,1.4,-0.3,-0.55,-0.22,Matches
Masaya Okugawa,jp JPN,"FW,DF",27.0,2,32.0,16.0,1.0,0.4,0,0.0,0,2,16.0,3,1.5,2.0,0.0,2.0,5.63,5.98,0.7,0.8,-0.1,-0.38,-0.05,Matches
Nathanael Mbuku,fr FRA,FW,21.0,1,5.0,5.0,0.2,0.1,0,0.0,0,1,5.0,5,0.0,0.0,0.0,0.0,0.0,0.29,0.1,0.2,-0.1,-2.52,-2.19,Matches
Mahmut Kücüksahin,0,MF,19.0,1,1.0,1.0,0.0,0.0,0,0.0,0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.33,Matches
David Čolina,hr CRO,DF,23.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Deger,de GER,MF,23.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Hausmann,de GER,MF,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Japhet Tanganga,eng ENG,DF,24.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Frederik Winther,dk DEN,DF,22.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcel Łubik,pl POL,GK,19.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,26.0,34,3060.0,90.0,100.0,34.0,374,81.0,214,158,21.0,143,1.15,50.0,60.0,-10.0,-0.29,0.0,46.1,57.4,-11.3,-0.33,0.0,0
Opponent Total,0,0,26.6,34,3060.0,90.0,100.0,34.0,374,81.0,220,153,18.0,146,1.59,60.0,50.0,10.0,0.29,0.0,57.4,46.1,11.3,0.33,0.0,0
