D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-13,15:00,Ligue 1,Matchweek 1,Sun,Home,L,1,2,Toulouse,1.1,1.1,44,30578.0,Florent Mollet,3-4-1-2,Willy Delajod,Match Report,0.0
2023-08-20,13:00,Ligue 1,Matchweek 2,Sun,Away,L,0,2,Lille,1.1,2.2,36,34356.0,Pedro Chirivella,3-4-3,Pierre Gaillouste,Match Report,0.0
2023-08-25,21:00,Ligue 1,Matchweek 3,Fri,Home,D,3,3,Monaco,1.0,3.3,35,28429.0,Pedro Chirivella,3-4-3,Jérémie Pignard,Match Report,0.0
2023-09-01,21:00,Ligue 1,Matchweek 4,Fri,Home,D,1,1,Marseille,0.9,2.6,37,34600.0,Pedro Chirivella,3-4-3,Ruddy Buquet,Match Report,0.0
2023-09-17,15:00,Ligue 1,Matchweek 5,Sun,Away,W,1,0,Clermont Foot,0.6,1.3,48,9775.0,Pedro Chirivella,4-2-3-1,Thomas Léonard,Match Report,0.0
2023-09-23,17:00,Ligue 1,Matchweek 6,Sat,Home,W,5,3,Lorient,2.1,1.7,44,30704.0,Pedro Chirivella,4-4-2,Florent Batta,Match Report,0.0
2023-10-01,20:45,Ligue 1,Matchweek 7,Sun,Away,L,1,3,Rennes,1.0,2.7,42,27313.0,Pedro Chirivella,4-2-3-1,Ruddy Buquet,Match Report,0.0
2023-10-06,21:00,Ligue 1,Matchweek 8,Fri,Away,W,2,1,Strasbourg,1.9,0.7,57,25274.0,Pedro Chirivella,3-4-3,Stéphanie Frappart,Match Report,0.0
2023-10-22,15:00,Ligue 1,Matchweek 9,Sun,Home,W,2,0,Montpellier,1.5,0.5,57,26864.0,Pedro Chirivella,4-3-3,Marc Bollengier,Match Report,0.0
2023-10-28,21:00,Ligue 1,Matchweek 10,Sat,Away,L,0,4,Lens,1.0,3.7,46,38223.0,Pedro Chirivella,3-4-3,Pierre Gaillouste,Match Report,0.0
2023-11-05,15:00,Ligue 1,Matchweek 11,Sun,Home,L,0,1,Reims,1.8,1.1,50,33621.0,Pedro Chirivella,3-4-3,Gaël Angoula,Match Report,0.0
2023-11-12,15:00,Ligue 1,Matchweek 12,Sun,Away,L,1,3,Metz,1.3,1.1,66,21674.0,Pedro Chirivella,3-4-3,Florent Batta,Match Report,0.0
2023-11-26,15:00,Ligue 1,Matchweek 13,Sun,Home,D,0,0,Le Havre,1.3,0.2,61,29346.0,Pedro Chirivella,4-2-3-1,Miguel Nogueira,Match Report,0.0
2023-12-02,21:00,Ligue 1,Matchweek 14,Sat,Home,W,1,0,Nice,1.4,1.3,38,26560.0,Pedro Chirivella,4-2-3-1,Ruddy Buquet,Match Report,0.0
2023-12-09,21:00,Ligue 1,Matchweek 15,Sat,Away,L,1,2,Paris S-G,0.5,2.0,35,47926.0,Alban Lafont,4-2-3-1,Jérôme Brisard,Match Report,0.0
2023-12-17,13:00,Ligue 1,Matchweek 16,Sun,Home,L,0,2,Brest,1.0,1.9,51,30075.0,Pedro Chirivella,4-2-3-1,Benoît Millot,Match Report,0.0
2023-12-20,21:00,Ligue 1,Matchweek 17,Wed,Away,L,0,1,Lyon,0.5,1.7,61,40028.0,Pedro Chirivella,3-4-1-2,Benoît Bastien,Match Report,0.0
2024-01-05,18:00,Coupe de France,Round of 64,Fri,Away,W,4,1,Pau FC,0.0,0.0,67,3353.0,Pedro Chirivella,3-4-3,Pierre Gaillouste,Match Report,0.0
2024-01-14,15:00,Ligue 1,Matchweek 18,Sun,Home,L,1,2,Clermont Foot,1.9,1.0,52,20866.0,Pedro Chirivella,4-4-2,Romain Lissorgue,Match Report,0.0
2024-01-20,17:30,Coupe de France,Round of 32,Sat,Home,L,0,1,Stade Laval,0.0,0.0,69,31962.0,Pedro Chirivella,3-4-3,Ruddy Buquet,Match Report,0.0
2024-01-28,15:00,Ligue 1,Matchweek 19,Sun,Away,D,0,0,Reims,1.2,0.9,50,14388.0,Pedro Chirivella,4-3-3,Jérémie Pignard,Match Report,0.0
2024-02-03,21:00,Ligue 1,Matchweek 20,Sat,Home,L,0,1,Lens,0.6,1.6,42,34167.0,Pedro Chirivella,4-4-1-1,Florent Batta,Match Report,0.0
2024-02-11,15:00,Ligue 1,Matchweek 21,Sun,Away,W,2,1,Toulouse,0.4,1.0,26,28933.0,Pedro Chirivella,4-3-3,Gaël Angoula,Match Report,0.0
2024-02-17,21:00,Ligue 1,Matchweek 22,Sat,Home,L,0,2,Paris S-G,1.3,1.5,23,34038.0,Pedro Chirivella,5-3-2,Jérôme Brisard,Match Report,0.0
2024-02-24,17:00,Ligue 1,Matchweek 23,Sat,Away,W,1,0,Lorient,0.4,0.5,36,16787.0,Pedro Chirivella,5-3-2,Willy Delajod,Match Report,0.0
2024-03-03,15:00,Ligue 1,Matchweek 24,Sun,Home,L,0,2,Metz,0.9,2.0,47,27132.0,Pedro Chirivella,5-3-2,Eric Wattellier,Match Report,0.0
2024-03-10,20:45,Ligue 1,Matchweek 25,Sun,Away,L,0,2,Marseille,1.0,1.5,47,56958.0,Pedro Chirivella,5-3-2,François Letexier,Match Report,0.0
2024-03-16,17:00,Ligue 1,Matchweek 26,Sat,Home,L,1,3,Strasbourg,1.1,1.9,63,29487.0,Pedro Chirivella,4-2-3-1,Jérémie Pignard,Match Report,0.0
2024-03-31,15:00,Ligue 1,Matchweek 27,Sun,Away,W,2,1,Nice,1.7,1.3,44,21142.0,Pedro Chirivella,4-2-3-1,Bastien Dechepy,Match Report,0.0
2024-04-07,20:45,Ligue 1,Matchweek 28,Sun,Home,L,1,3,Lyon,1.2,2.4,42,0.0,Pedro Chirivella,4-2-3-1,Jérôme Brisard,Match Report,0.0
2024-04-14,13:00,Ligue 1,Matchweek 29,Sun,Away,W,1,0,Le Havre,0.8,1.4,55,23021.0,Pedro Chirivella,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,0.0
2024-04-20,17:00,Ligue 1,Matchweek 30,Sat,Home,L,0,3,Rennes,0.2,2.4,45,25433.0,Pedro Chirivella,4-3-3,Willy Delajod,Match Report,0.0
2024-04-26,21:00,Ligue 1,Matchweek 31,Fri,Away,D,1,1,Montpellier,1.3,0.8,46,17331.0,Alban Lafont,4-2-3-1,Jeremy Stinat,Match Report,0.0
2024-05-04,21:00,Ligue 1,Matchweek 32,Sat,Away,D,0,0,Brest,1.6,0.5,29,15159.0,Alban Lafont,3-4-3,Clément Turpin,Match Report,0.0
2024-05-12,21:00,Ligue 1,Matchweek 33,Sun,Home,L,1,2,Lille,0.7,1.5,30,26529.0,Pedro Chirivella,3-5-2,Eric Wattellier,Match Report,0.0
2024-05-19,21:00,Ligue 1,Matchweek 34,Sun,Away,L,0,4,Monaco,1.0,1.5,38,7343.0,Alban Lafont,4-4-1-1,Romain Lissorgue,Match Report,0.0
